species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,bill_ratio,body_prop
Adelie,Torgersen,37.2,19.4,184.0,3900.0,Male,1.9175257731958766,0.04717948717948718
Adelie,Torgersen,36.2,16.1,187.0,3550.0,Female,2.248447204968944,0.05267605633802817
Adelie,Torgersen,42.1,19.1,195.0,4000.0,Male,2.2041884816753927,0.04875
Adelie,Torgersen,34.6,17.2,189.0,3200.0,Female,2.011627906976744,0.0590625
Adelie,Torgersen,42.9,17.6,196.0,4700.0,Male,2.4374999999999996,0.04170212765957447
Adelie,Torgersen,36.7,18.8,187.0,3800.0,Female,1.952127659574468,0.049210526315789475
Adelie,Torgersen,35.1,19.4,193.0,4200.0,Male,1.8092783505154642,0.04595238095238095
Adelie,Dream,37.3,17.8,191.0,3350.0,Female,2.095505617977528,0.05701492537313433
Adelie,Dream,41.3,20.3,194.0,3550.0,Male,2.0344827586206895,0.05464788732394366
Adelie,Dream,36.3,19.5,190.0,3800.0,Male,1.8615384615384614,0.05
Adelie,Dream,36.9,18.6,189.0,3500.0,Female,1.9838709677419353,0.054
Adelie,Dream,38.3,19.2,189.0,3950.0,Male,1.9947916666666665,0.047848101265822784
Adelie,Dream,38.9,18.8,190.0,3600.0,Female,2.0691489361702127,0.05277777777777778
Adelie,Dream,35.7,18.0,202.0,3550.0,Female,1.9833333333333334,0.056901408450704224
Adelie,Dream,41.1,18.1,205.0,4300.0,Male,2.270718232044199,0.047674418604651166
Adelie,Dream,34.0,17.1,185.0,3400.0,Female,1.9883040935672514,0.054411764705882354
Adelie,Dream,39.6,18.1,186.0,4450.0,Male,2.187845303867403,0.041797752808988765
Adelie,Dream,36.2,17.3,187.0,3300.0,Female,2.092485549132948,0.056666666666666664
Adelie,Dream,40.8,18.9,208.0,4300.0,Male,2.1587301587301586,0.04837209302325581
Adelie,Dream,38.1,18.6,190.0,3700.0,Female,2.0483870967741935,0.051351351351351354
Adelie,Dream,40.3,18.5,196.0,4350.0,Male,2.1783783783783783,0.045057471264367814
Adelie,Dream,33.1,16.1,178.0,2900.0,Female,2.0559006211180124,0.06137931034482759
Adelie,Dream,43.2,18.5,192.0,4100.0,Male,2.3351351351351353,0.04682926829268293
Adelie,Biscoe,35.0,17.9,192.0,3725.0,Female,1.9553072625698324,0.051543624161073824
Adelie,Biscoe,41.0,20.0,203.0,4725.0,Male,2.05,0.04296296296296296
Adelie,Biscoe,37.7,16.0,183.0,3075.0,Female,2.35625,0.05951219512195122
Adelie,Biscoe,37.8,20.0,190.0,4250.0,Male,1.89,0.04470588235294118
Adelie,Biscoe,37.9,18.6,193.0,2925.0,Female,2.0376344086021505,0.06598290598290599
Adelie,Biscoe,39.7,18.9,184.0,3550.0,Male,2.100529100529101,0.051830985915492955
Adelie,Biscoe,38.6,17.2,199.0,3750.0,Female,2.244186046511628,0.053066666666666665
Adelie,Biscoe,38.2,20.0,190.0,3900.0,Male,1.9100000000000001,0.04871794871794872
Adelie,Biscoe,38.1,17.0,181.0,3175.0,Female,2.2411764705882353,0.057007874015748035
Adelie,Biscoe,43.2,19.0,197.0,4775.0,Male,2.2736842105263158,0.0412565445026178
Adelie,Biscoe,38.1,16.5,198.0,3825.0,Female,2.309090909090909,0.05176470588235294
Adelie,Biscoe,45.6,20.3,191.0,4600.0,Male,2.2463054187192117,0.04152173913043478
Adelie,Biscoe,39.7,17.7,193.0,3200.0,Female,2.2429378531073447,0.0603125
Adelie,Biscoe,42.2,19.5,197.0,4275.0,Male,2.1641025641025644,0.04608187134502924
Adelie,Biscoe,39.6,20.7,191.0,3900.0,Female,1.9130434782608696,0.04897435897435897
Adelie,Biscoe,42.7,18.3,196.0,4075.0,Male,2.3333333333333335,0.04809815950920245
Adelie,Torgersen,38.6,17.0,188.0,2900.0,Female,2.2705882352941176,0.06482758620689655
Adelie,Torgersen,37.3,20.5,199.0,3775.0,Male,1.819512195121951,0.05271523178807947
Adelie,Torgersen,35.7,17.0,189.0,3350.0,Female,2.1,0.05641791044776119
Adelie,Torgersen,41.1,18.6,189.0,3325.0,Male,2.2096774193548385,0.056842105263157895
Adelie,Torgersen,36.2,17.2,187.0,3150.0,Female,2.104651162790698,0.059365079365079364
Adelie,Torgersen,37.7,19.8,198.0,3500.0,Male,1.9040404040404042,0.05657142857142857
Adelie,Torgersen,40.2,17.0,176.0,3450.0,Female,2.364705882352941,0.051014492753623186
Adelie,Torgersen,41.4,18.5,202.0,3875.0,Male,2.2378378378378376,0.05212903225806451
Adelie,Torgersen,35.2,15.9,186.0,3050.0,Female,2.2138364779874213,0.06098360655737705
Adelie,Torgersen,40.6,19.0,199.0,4000.0,Male,2.136842105263158,0.04975
Adelie,Torgersen,38.8,17.6,191.0,3275.0,Female,2.204545454545454,0.0583206106870229
Adelie,Torgersen,41.5,18.3,195.0,4300.0,Male,2.26775956284153,0.04534883720930233
Adelie,Torgersen,39.0,17.1,191.0,3050.0,Female,2.280701754385965,0.06262295081967213
Adelie,Torgersen,44.1,18.0,210.0,4000.0,Male,2.45,0.0525
Adelie,Torgersen,38.5,17.9,190.0,3325.0,Female,2.1508379888268156,0.05714285714285714
Adelie,Torgersen,43.1,19.2,197.0,3500.0,Male,2.244791666666667,0.056285714285714286
Adelie,Dream,36.8,18.5,193.0,3500.0,Female,1.989189189189189,0.055142857142857146
Adelie,Dream,37.5,18.5,199.0,4475.0,Male,2.027027027027027,0.04446927374301676
Adelie,Dream,38.1,17.6,187.0,3425.0,Female,2.164772727272727,0.0545985401459854
Adelie,Dream,41.1,17.5,190.0,3900.0,Male,2.3485714285714288,0.04871794871794872
Adelie,Dream,35.6,17.5,191.0,3175.0,Female,2.0342857142857143,0.06015748031496063
Adelie,Dream,40.2,20.1,200.0,3975.0,Male,2.0,0.050314465408805034
Adelie,Dream,37.0,16.5,185.0,3400.0,Female,2.242424242424242,0.054411764705882354
Adelie,Dream,39.7,17.9,193.0,4250.0,Male,2.217877094972067,0.04541176470588235
Adelie,Dream,40.2,17.1,193.0,3400.0,Female,2.350877192982456,0.05676470588235294
Adelie,Dream,40.6,17.2,187.0,3475.0,Male,2.36046511627907,0.05381294964028777
Adelie,Dream,32.1,15.5,188.0,3050.0,Female,2.070967741935484,0.06163934426229508
Adelie,Dream,40.7,17.0,190.0,3725.0,Male,2.394117647058824,0.05100671140939597
Adelie,Dream,37.3,16.8,192.0,3000.0,Female,2.220238095238095,0.064
Adelie,Dream,39.0,18.7,185.0,3650.0,Male,2.085561497326203,0.050684931506849315
Adelie,Dream,39.2,18.6,190.0,4250.0,Male,2.10752688172043,0.04470588235294118
Adelie,Dream,36.6,18.4,184.0,3475.0,Female,1.9891304347826089,0.052949640287769786
Adelie,Dream,36.0,17.8,195.0,3450.0,Female,2.0224719101123596,0.05652173913043478
Adelie,Dream,37.8,18.1,193.0,3750.0,Male,2.0883977900552484,0.05146666666666667
Adelie,Dream,36.0,17.1,187.0,3700.0,Female,2.1052631578947367,0.05054054054054054
Adelie,Dream,41.5,18.5,201.0,4000.0,Male,2.2432432432432434,0.05025
Chinstrap,Dream,46.5,17.9,192.0,3500.0,Female,2.597765363128492,0.054857142857142854
Chinstrap,Dream,50.0,19.5,196.0,3900.0,Male,2.5641025641025643,0.050256410256410255
Chinstrap,Dream,51.3,19.2,193.0,3650.0,Male,2.671875,0.052876712328767124
Chinstrap,Dream,45.4,18.7,188.0,3525.0,Female,2.427807486631016,0.05333333333333334
Chinstrap,Dream,52.7,19.8,197.0,3725.0,Male,2.6616161616161618,0.05288590604026846
Chinstrap,Dream,45.2,17.8,198.0,3950.0,Female,2.539325842696629,0.05012658227848101
Chinstrap,Dream,46.1,18.2,178.0,3250.0,Female,2.5329670329670333,0.05476923076923077
Chinstrap,Dream,51.3,18.2,197.0,3750.0,Male,2.8186813186813184,0.052533333333333335
Chinstrap,Dream,46.0,18.9,195.0,4150.0,Female,2.433862433862434,0.046987951807228916
Chinstrap,Dream,51.3,19.9,198.0,3700.0,Male,2.577889447236181,0.053513513513513515
Chinstrap,Dream,46.6,17.8,193.0,3800.0,Female,2.6179775280898876,0.05078947368421052
Chinstrap,Dream,51.7,20.3,194.0,3775.0,Male,2.5467980295566504,0.05139072847682119
Chinstrap,Dream,47.0,17.3,185.0,3700.0,Female,2.7167630057803467,0.05
Chinstrap,Dream,52.0,18.1,201.0,4050.0,Male,2.87292817679558,0.04962962962962963
Chinstrap,Dream,45.9,17.1,190.0,3575.0,Female,2.6842105263157894,0.05314685314685315
Chinstrap,Dream,50.5,19.6,201.0,4050.0,Male,2.576530612244898,0.04962962962962963
Chinstrap,Dream,50.3,20.0,197.0,3300.0,Male,2.5149999999999997,0.0596969696969697
Chinstrap,Dream,58.0,17.8,181.0,3700.0,Female,3.258426966292135,0.04891891891891892
Chinstrap,Dream,46.4,18.6,190.0,3450.0,Female,2.494623655913978,0.05507246376811594
Chinstrap,Dream,49.2,18.2,195.0,4400.0,Male,2.7032967032967035,0.04431818181818182
Chinstrap,Dream,42.4,17.3,181.0,3600.0,Female,2.450867052023121,0.050277777777777775
Chinstrap,Dream,48.5,17.5,191.0,3400.0,Male,2.7714285714285714,0.05617647058823529
Chinstrap,Dream,43.2,16.6,187.0,2900.0,Female,2.602409638554217,0.06448275862068965
Chinstrap,Dream,50.6,19.4,193.0,3800.0,Male,2.6082474226804124,0.05078947368421052
Chinstrap,Dream,46.7,17.9,195.0,3300.0,Female,2.608938547486034,0.05909090909090909
Chinstrap,Dream,52.0,19.0,197.0,4150.0,Male,2.736842105263158,0.047469879518072286
Chinstrap,Dream,50.5,18.4,200.0,3400.0,Female,2.7445652173913047,0.058823529411764705
Chinstrap,Dream,49.5,19.0,200.0,3800.0,Male,2.6052631578947367,0.05263157894736842
Chinstrap,Dream,46.4,17.8,191.0,3700.0,Female,2.6067415730337076,0.05162162162162162
Chinstrap,Dream,52.8,20.0,205.0,4550.0,Male,2.6399999999999997,0.045054945054945054
Chinstrap,Dream,40.9,16.6,187.0,3200.0,Female,2.4638554216867465,0.0584375
Chinstrap,Dream,54.2,20.8,201.0,4300.0,Male,2.605769230769231,0.04674418604651163
Chinstrap,Dream,42.5,16.7,187.0,3350.0,Female,2.5449101796407185,0.05582089552238806
Chinstrap,Dream,51.0,18.8,203.0,4100.0,Male,2.7127659574468086,0.04951219512195122
Chinstrap,Dream,49.7,18.6,195.0,3600.0,Male,2.672043010752688,0.05416666666666667
Chinstrap,Dream,47.5,16.8,199.0,3900.0,Female,2.827380952380952,0.05102564102564103
Chinstrap,Dream,47.6,18.3,195.0,3850.0,Female,2.601092896174863,0.05064935064935065
Chinstrap,Dream,52.0,20.7,210.0,4800.0,Male,2.5120772946859904,0.04375
Chinstrap,Dream,46.9,16.6,192.0,2700.0,Female,2.8253012048192767,0.07111111111111111
Chinstrap,Dream,53.5,19.9,205.0,4500.0,Male,2.6884422110552766,0.04555555555555556
Chinstrap,Dream,49.0,19.5,210.0,3950.0,Male,2.5128205128205128,0.053164556962025315
Chinstrap,Dream,46.2,17.5,187.0,3650.0,Female,2.64,0.05123287671232877
Chinstrap,Dream,50.9,19.1,196.0,3550.0,Male,2.664921465968586,0.0552112676056338
Chinstrap,Dream,45.5,17.0,196.0,3500.0,Female,2.676470588235294,0.056
Chinstrap,Dream,50.9,17.9,196.0,3675.0,Female,2.8435754189944134,0.05333333333333334
Chinstrap,Dream,50.8,18.5,201.0,4450.0,Male,2.745945945945946,0.045168539325842694
Chinstrap,Dream,50.1,17.9,190.0,3400.0,Female,2.7988826815642462,0.05588235294117647
Chinstrap,Dream,49.0,19.6,212.0,4300.0,Male,2.5,0.04930232558139535
Chinstrap,Dream,51.5,18.7,187.0,3250.0,Male,2.7540106951871657,0.05753846153846154
Chinstrap,Dream,49.8,17.3,198.0,3675.0,Female,2.8786127167630053,0.053877551020408164
Chinstrap,Dream,48.1,16.4,199.0,3325.0,Female,2.932926829268293,0.059849624060150375
Chinstrap,Dream,51.4,19.0,201.0,3950.0,Male,2.705263157894737,0.05088607594936709
Chinstrap,Dream,45.7,17.3,193.0,3600.0,Female,2.6416184971098264,0.05361111111111111
Chinstrap,Dream,50.7,19.7,203.0,4050.0,Male,2.5736040609137056,0.050123456790123457
Chinstrap,Dream,42.5,17.3,187.0,3350.0,Female,2.4566473988439306,0.05582089552238806
Chinstrap,Dream,52.2,18.8,197.0,3450.0,Male,2.776595744680851,0.05710144927536232
Chinstrap,Dream,45.2,16.6,191.0,3250.0,Female,2.7228915662650603,0.05876923076923077
Chinstrap,Dream,49.3,19.9,203.0,4050.0,Male,2.477386934673367,0.050123456790123457
Chinstrap,Dream,50.2,18.8,202.0,3800.0,Male,2.670212765957447,0.053157894736842105
Chinstrap,Dream,45.6,19.4,194.0,3525.0,Female,2.350515463917526,0.0550354609929078
Chinstrap,Dream,51.9,19.5,206.0,3950.0,Male,2.6615384615384614,0.052151898734177214
Chinstrap,Dream,46.8,16.5,189.0,3650.0,Female,2.836363636363636,0.051780821917808216
Chinstrap,Dream,45.7,17.0,195.0,3650.0,Female,2.6882352941176473,0.05342465753424658
Chinstrap,Dream,55.8,19.8,207.0,4000.0,Male,2.818181818181818,0.05175
Chinstrap,Dream,43.5,18.1,202.0,3400.0,Female,2.4033149171270716,0.05941176470588235
Chinstrap,Dream,49.6,18.2,193.0,3775.0,Male,2.7252747252747254,0.051125827814569536
Chinstrap,Dream,50.8,19.0,210.0,4100.0,Male,2.6736842105263157,0.05121951219512195
Chinstrap,Dream,50.2,18.7,198.0,3775.0,Female,2.6844919786096257,0.052450331125827816
Gentoo,Biscoe,46.1,13.2,211.0,4500.0,Female,3.4924242424242427,0.04688888888888889
Gentoo,Biscoe,50.0,16.3,230.0,5700.0,Male,3.067484662576687,0.04035087719298246
Gentoo,Biscoe,48.7,14.1,210.0,4450.0,Female,3.4539007092198584,0.04719101123595506
Gentoo,Biscoe,50.0,15.2,218.0,5700.0,Male,3.2894736842105265,0.03824561403508772
Gentoo,Biscoe,47.6,14.5,215.0,5400.0,Male,3.282758620689655,0.03981481481481482
Gentoo,Biscoe,46.5,13.5,210.0,4550.0,Female,3.4444444444444446,0.046153846153846156
Gentoo,Biscoe,45.4,14.6,211.0,4800.0,Female,3.1095890410958904,0.043958333333333335
Gentoo,Biscoe,46.7,15.3,219.0,5200.0,Male,3.0522875816993467,0.04211538461538462
Gentoo,Biscoe,43.3,13.4,209.0,4400.0,Female,3.231343283582089,0.0475
Gentoo,Biscoe,46.8,15.4,215.0,5150.0,Male,3.038961038961039,0.04174757281553398
Gentoo,Biscoe,40.9,13.7,214.0,4650.0,Female,2.985401459854015,0.046021505376344085
Gentoo,Biscoe,49.0,16.1,216.0,5550.0,Male,3.043478260869565,0.03891891891891892
Gentoo,Biscoe,45.5,13.7,214.0,4650.0,Female,3.321167883211679,0.046021505376344085
Gentoo,Biscoe,48.4,14.6,213.0,5850.0,Male,3.315068493150685,0.03641025641025641
Gentoo,Biscoe,45.8,14.6,210.0,4200.0,Female,3.136986301369863,0.05
Gentoo,Biscoe,49.3,15.7,217.0,5850.0,Male,3.140127388535032,0.03709401709401709
Gentoo,Biscoe,42.0,13.5,210.0,4150.0,Female,3.111111111111111,0.05060240963855422
Gentoo,Biscoe,49.2,15.2,221.0,6300.0,Male,3.2368421052631584,0.03507936507936508
Gentoo,Biscoe,46.2,14.5,209.0,4800.0,Female,3.1862068965517243,0.043541666666666666
Gentoo,Biscoe,48.7,15.1,222.0,5350.0,Male,3.2251655629139075,0.041495327102803736
Gentoo,Biscoe,50.2,14.3,218.0,5700.0,Male,3.5104895104895104,0.03824561403508772
Gentoo,Biscoe,45.1,14.5,215.0,5000.0,Female,3.110344827586207,0.043
Gentoo,Biscoe,46.5,14.5,213.0,4400.0,Female,3.206896551724138,0.04840909090909091
Gentoo,Biscoe,46.3,15.8,215.0,5050.0,Male,2.9303797468354427,0.04257425742574258
Gentoo,Biscoe,42.9,13.1,215.0,5000.0,Female,3.2748091603053435,0.043
Gentoo,Biscoe,46.1,15.1,215.0,5100.0,Male,3.0529801324503314,0.04215686274509804
Gentoo,Biscoe,44.5,14.3,216.0,4100.0,,3.1118881118881117,0.05268292682926829
Gentoo,Biscoe,47.8,15.0,215.0,5650.0,Male,3.1866666666666665,0.03805309734513274
Gentoo,Biscoe,48.2,14.3,210.0,4600.0,Female,3.370629370629371,0.04565217391304348
Gentoo,Biscoe,50.0,15.3,220.0,5550.0,Male,3.2679738562091503,0.03963963963963964
Gentoo,Biscoe,47.3,15.3,222.0,5250.0,Male,3.091503267973856,0.04228571428571429
Gentoo,Biscoe,42.8,14.2,209.0,4700.0,Female,3.0140845070422535,0.044468085106382976
Gentoo,Biscoe,45.1,14.5,207.0,5050.0,Female,3.110344827586207,0.04099009900990099
Gentoo,Biscoe,59.6,17.0,230.0,6050.0,Male,3.5058823529411764,0.03801652892561983
Gentoo,Biscoe,49.1,14.8,220.0,5150.0,Female,3.3175675675675675,0.04271844660194175
Gentoo,Biscoe,48.4,16.3,220.0,5400.0,Male,2.969325153374233,0.040740740740740744
Gentoo,Biscoe,42.6,13.7,213.0,4950.0,Female,3.109489051094891,0.04303030303030303
Gentoo,Biscoe,44.4,17.3,219.0,5250.0,Male,2.566473988439306,0.04171428571428572
Gentoo,Biscoe,44.0,13.6,208.0,4350.0,Female,3.235294117647059,0.04781609195402299
Gentoo,Biscoe,48.7,15.7,208.0,5350.0,Male,3.101910828025478,0.0388785046728972
Gentoo,Biscoe,42.7,13.7,208.0,3950.0,Female,3.1167883211678835,0.052658227848101265
Gentoo,Biscoe,49.6,16.0,225.0,5700.0,Male,3.1,0.039473684210526314
Gentoo,Biscoe,45.3,13.7,210.0,4300.0,Female,3.3065693430656933,0.04883720930232558
Gentoo,Biscoe,49.6,15.0,216.0,4750.0,Male,3.3066666666666666,0.04547368421052632
Gentoo,Biscoe,50.5,15.9,222.0,5550.0,Male,3.1761006289308176,0.04
Gentoo,Biscoe,43.6,13.9,217.0,4900.0,Female,3.1366906474820144,0.04428571428571428
Gentoo,Biscoe,45.5,13.9,210.0,4200.0,Female,3.273381294964029,0.05
Gentoo,Biscoe,50.5,15.9,225.0,5400.0,Male,3.1761006289308176,0.041666666666666664
Gentoo,Biscoe,44.9,13.3,213.0,5100.0,Female,3.37593984962406,0.04176470588235294
Gentoo,Biscoe,45.2,15.8,215.0,5300.0,Male,2.8607594936708862,0.040566037735849055
Gentoo,Biscoe,46.6,14.2,210.0,4850.0,Female,3.2816901408450705,0.04329896907216495
Gentoo,Biscoe,48.5,14.1,220.0,5300.0,Male,3.4397163120567376,0.04150943396226415
Gentoo,Biscoe,45.1,14.4,210.0,4400.0,Female,3.1319444444444446,0.04772727272727273
Gentoo,Biscoe,50.1,15.0,225.0,5000.0,Male,3.3400000000000003,0.045
Gentoo,Biscoe,46.5,14.4,217.0,4900.0,Female,3.2291666666666665,0.04428571428571428
Gentoo,Biscoe,45.0,15.4,220.0,5050.0,Male,2.922077922077922,0.04356435643564356
Gentoo,Biscoe,43.8,13.9,208.0,4300.0,Female,3.151079136690647,0.04837209302325581
Gentoo,Biscoe,45.5,15.0,220.0,5000.0,Male,3.033333333333333,0.044
Gentoo,Biscoe,43.2,14.5,208.0,4450.0,Female,2.9793103448275864,0.046741573033707864
Gentoo,Biscoe,50.4,15.3,224.0,5550.0,Male,3.2941176470588234,0.04036036036036036
Gentoo,Biscoe,45.3,13.8,208.0,4200.0,Female,3.2826086956521734,0.049523809523809526
Gentoo,Biscoe,46.2,14.9,221.0,5300.0,Male,3.1006711409395975,0.04169811320754717
Gentoo,Biscoe,45.7,13.9,214.0,4400.0,Female,3.287769784172662,0.04863636363636364
Gentoo,Biscoe,54.3,15.7,231.0,5650.0,Male,3.4585987261146496,0.04088495575221239
Gentoo,Biscoe,45.8,14.2,219.0,4700.0,Female,3.2253521126760565,0.046595744680851064
Gentoo,Biscoe,49.8,16.8,230.0,5700.0,Male,2.964285714285714,0.04035087719298246
Gentoo,Biscoe,46.2,14.4,214.0,4650.0,,3.2083333333333335,0.046021505376344085
Gentoo,Biscoe,49.5,16.2,229.0,5800.0,Male,3.055555555555556,0.03948275862068965
Gentoo,Biscoe,43.5,14.2,220.0,4700.0,Female,3.063380281690141,0.04680851063829787
Gentoo,Biscoe,50.7,15.0,223.0,5550.0,Male,3.3800000000000003,0.04018018018018018
Gentoo,Biscoe,47.7,15.0,216.0,4750.0,Female,3.18,0.04547368421052632
Gentoo,Biscoe,46.4,15.6,221.0,5000.0,Male,2.9743589743589745,0.0442
